COUNTY,MUNICIPAL_,MUNICIPAL1,m18_19.wtd_pct,m20_24.wtd_pct,m25_29.wtd_pct,m30_34.wtd_pct,m35_39.wtd_pct,m40_44.wtd_pct,m45_49.wtd_pct,m50_54.wtd_pct,m55_59.wtd_pct,m60_64.wtd_pct,m65_69.wtd_pct,m70_74.wtd_pct,m75_79.wtd_pct,m80_84.wtd_pct,m85.wtd_pct,f18_19.wtd_pct,f20_24.wtd_pct,f25_29.wtd_pct,f30_34.wtd_pct,f35_39.wtd_pct,f40_44.wtd_pct,f45_49.wtd_pct,f50_54.wtd_pct,f55_59.wtd_pct,f60_64.wtd_pct,f65_69.wtd_pct,f70_74.wtd_pct,f75_79.wtd_pct,f80_84.wtd_pct,f85.wtd_pct,totalpop_pct
06,102,MUHLENBERG,0.00575485851423973,0.011787420571684137,0.010704136170633679,0.012131182876176087,0.011782156906572529,0.015837368143455453,0.017435881344433284,0.0175215380356552,0.013949751430157871,0.012426910310857436,0.009800761715501153,0.008663692873436577,0.007946518277917328,0.006317347360905775,0.004451132589899176,0.004585404709419157,0.01210250314205102,0.011068795971294544,0.012139818588325595,0.013440429789782634,0.014948823536688324,0.018908161242793584,0.018004199266736128,0.0156436529623118,0.014250158877785201,0.010741957385949689,0.010586792440766928,0.010229731524932202,0.00909106419666381,0.008221179850555886,0.3504733306075819
06,103,CUMRU,0.0029637537249909713,0.007471654762996536,0.009613497612456702,0.008154405567868056,0.009379368367336011,0.011852571671350662,0.01286305417936712,0.012593099277677215,0.012043926440637377,0.012077321450237707,0.007787986271452298,0.006307441156881569,0.005253393982584952,0.0047401324518842715,0.0031955784079023405,0.002628009395199223,0.007541074378007347,0.009078029534670396,0.008182010345827377,0.009651049407966789,0.011489623443044049,0.012456226399564636,0.01280156523271136,0.01375302968047554,0.011978774945270873,0.008772390054013628,0.008235055869869286,0.00666882360606532,0.006430410245979429,0.0053626755977128765,0.2613259334620019
06,202,ALSACE,0.003793013730503307,0.008041851813398625,0.008650004593021513,0.0070656603589058925,0.009306128818846326,0.012201999193550242,0.013474282076660567,0.015407323712678195,0.013600091430628194,0.012097510179530093,0.008540175277915273,0.006032304292840657,0.005462445457145699,0.0033107410259296424,0.0024765065146042553,0.0031306978438454132,0.007215496931655102,0.00750791653628339,0.00623411057118255,0.009609981724508426,0.012373497677310864,0.014444000628180645,0.014005574412612978,0.012853809724509058,0.010873612078599246,0.009026322002538313,0.007485148820515883,0.006346668251919839,0.004332114625447841,0.00329597491648128,0.2581949652217493
06,203,AMITY,0.0036371505210300707,0.005451148258774143,0.005137196429553447,0.006593551870659136,0.01003991901684696,0.013048015894851075,0.011841675920037036,0.009323102226397255,0.0070395147952930824,0.006072868270743412,0.004635308871484021,0.0035119262551480436,0.0023476816774930446,0.001851722049562795,0.0015046466893026303,0.0032096948202279558,0.004642491693773761,0.0046848591414878635,0.008044569005526957,0.011883900700810178,0.012525721489313238,0.011692883180064841,0.009329411643660364,0.006635907926144024,0.0066556428793483,0.0047959150085866795,0.0037850249140856957,0.002528099653066245,0.002447400594739332,0.0030192540612685877,0.18791620545928017
06,204,BERN,0.021530601577034975,0.056464794561515166,0.04458355369158666,0.044594564341525395,0.04145905756754751,0.05248556665545515,0.05337699154450815,0.05127450635383164,0.0414689604473671,0.037439740844401465,0.029386804567883288,0.019603015987998726,0.01733123420678834,0.013479970250847266,0.015038866002281784,0.009651950126206225,0.017189209645043543,0.021549015274945123,0.02278363296440348,0.028903544872645934,0.035036758044003725,0.037668393726110645,0.04882979339102759,0.03990823635992542,0.036751162469573974,0.03149262200096362,0.02310567231839605,0.0224015940250706,0.02518428875783268,0.050321618398262775,0.990295720974984
06,208,CENTRE,0.0024209589543909855,0.005149547056784381,0.004841643893163489,0.004490194654195802,0.0055024868069020105,0.009507081641382004,0.009683157161450295,0.00902268207271441,0.007922157897493325,0.005897659954088916,0.004797343062296858,0.0027728160345432042,0.002332653254232035,0.0012765133547055824,7.043036413618863e-4,0.002068675677845002,0.004137546144163475,0.003609789924461631,0.0044904268662589375,0.005766807932627711,0.00897902919300687,0.008934991134896335,0.008758652800983925,0.00765814811606624,0.005854012361529782,0.0036093280785673893,0.003080914921340664,0.0026847508664250824,0.0017165563386494576,0.0017606644989663113,0.149431494295494
06,212,DOUGLASS,0.0065045038512631555,0.013697636722738674,0.013870945179352048,0.013880076006023555,0.016530037014662664,0.022767115712370077,0.02722591122650156,0.030362327312207612,0.025618436006790347,0.02245999751969053,0.015706913841522292,0.010619861099136417,0.008422959989922768,0.004829129921761775,0.0029003899439348285,0.004137040359790566,0.01106526714685504,0.012029189546129792,0.012575738979236112,0.018030763918426763,0.021275133110252278,0.026173843039612624,0.028873410916160597,0.025091006212014592,0.01974876803716767,0.016233412454928476,0.012198287737633928,0.008686992323486888,0.005971899642922996,0.003961579998540116,0.46144857477103673
06,213,EARL,0.006508288607208048,0.013718029961742597,0.013893329113639516,0.013895277518475262,0.016535641078239023,0.022780624737234575,0.027260976553807385,0.030422696916593515,0.025673502056013178,0.0225064476338085,0.01573761837775312,0.010638988333163773,0.008440203082172382,0.004835780272983295,0.0029011912088049248,0.004134939634786232,0.01108001450689179,0.012046427734151387,0.012578859604374854,0.018031976389753776,0.02128544217502748,0.026206981595407155,0.02892842408516336,0.025143953559912592,0.019782961407120613,0.016265149499821177,0.01222109291157557,0.008704057916651305,0.005978368771730816,0.003956822955772846,0.46209406819978005
06,214,EXETER,0.002353673984151666,0.004959151679611851,0.005257461580006505,0.005996016664849311,0.0072737701102967975,0.007719275305024233,0.008490823357447242,0.009014106976660358,0.0075235789469606865,0.006949559751606639,0.004510977216046378,0.0036669350988999343,0.002739071338654118,0.0020924668956390467,0.0016145073187867644,0.0017285988994931677,0.004674239716951308,0.005689241050247981,0.006268607082726484,0.007264095340752473,0.00796273766997737,0.009011078354370436,0.008698359157726217,0.007233413877422386,0.007258688411216319,0.005262640014667346,0.003951274208765052,0.0032416592857102814,0.0029780900382275666,0.0029994108869700856,0.164383510219866
06,216,HEIDELBERG,0.003834355966090209,0.008075613119354829,0.008755571577546868,0.008434569895602284,0.008633401995541221,0.010509293040186008,0.012465896209892566,0.010698622089615872,0.009909841957826376,0.008484310148671459,0.005906884961220194,0.004251294502046042,0.003948351029050324,0.002492468528372148,0.0015581127386508967,0.0031602985277433397,0.00711932388656509,0.008600654059093148,0.008721045396803868,0.010103849567832005,0.010413927741905747,0.013244796766188668,0.010374430690850898,0.009549515950775739,0.009335640907414655,0.00748216714111844,0.005073620738991645,0.0051739556009619304,0.004193863370720988,0.004068990853360163,0.22457466895999362
